user_id,author,linkOfAuthorProfile,desc,followers
ankonzoid,Anson Wong,https://towardsdatascience.com/@ankonzoid?source=collection_archive---------0-----------------------,AI Research Scientist / Machine Learning Engineer / Theoretical Physicist,638
xbno,Geoff Counihan,https://towardsdatascience.com/@xbno?source=collection_archive---------1-----------------------,Data Scientist,24
lauren-mac,Lauren Macpherson,https://towardsdatascience.com/@lauren-mac?source=collection_archive---------2-----------------------,,0
anujanagpal,Anuja Nagpal,https://towardsdatascience.com/@anujanagpal?source=collection_archive---------0-----------------------,Data Scientist- Keeping up with Data Science and Machine Learning. #datascience #machinelearning #womenintech,2100
pietz,Paul-Louis Pröve,https://towardsdatascience.com/@pietz?source=collection_archive---------1-----------------------,AI @ Lufthansa,975
stefbernosky,Stef Bernosky,https://towardsdatascience.com/@stefbernosky?source=collection_archive---------4-----------------------,"Data Scientist @ Gates Foundation. Lover of trails, travel, Data and Earth Science. Enjoys long strolls through the mountains.",137
amrwrites,AbdulMajedRaja RS,https://towardsdatascience.com/@amrwrites?source=collection_archive---------6-----------------------,"Friends with Randomness, Uncertainty, Anomaly! Welcoming Feedback: ",1600
marco-brambilla,Marco Brambilla,https://towardsdatascience.com/@marco-brambilla?source=collection_archive---------7-----------------------,,0
matheus.mota,Matheus Mota,https://towardsdatascience.com/@matheus.mota?source=collection_archive---------1-----------------------,,172
dexterfichuk,Dexter Fichuk,https://towardsdatascience.com/@dexterfichuk?source=collection_archive---------2-----------------------,Teaching machines to love ♡,415
latenightfroyo,George,https://towardsdatascience.com/@latenightfroyo?source=collection_archive---------0-----------------------,,0
aneesha,Aneesha Bakharia,https://towardsdatascience.com/@aneesha?source=collection_archive---------2-----------------------,,0
awasunyin,Awa Sun Yin,https://towardsdatascience.com/@awasunyin?source=collection_archive---------0-----------------------,"Co-founder of the Anoma Network and Heliax, the team building Anoma. Prev. founder Cryptium Labs validator & Metastate",1300
normandipalo,Norman Di Palo,https://towardsdatascience.com/@normandipalo?source=collection_archive---------5-----------------------,deep learning x robots. twitter: @normandipalo,1500
jctestud,JC Testud,https://towardsdatascience.com/@jctestud?source=collection_archive---------6-----------------------,,318
SeattleDataGuy,SeattleDataGuy,https://towardsdatascience.com/@SeattleDataGuy?source=collection_archive---------7-----------------------,"#Data #Engineer, Strategy Development Consultant and All Around Data Guy #deeplearning #dataengineering #datascience #tech ",0
seanamcclure,Sean McClure,https://towardsdatascience.com/@seanamcclure?source=collection_archive---------1-----------------------,,0
chrislearnsstuff,Chris Kim,https://towardsdatascience.com/@chrislearnsstuff?source=collection_archive---------2-----------------------,Obsessed with learning,30
dwpdatastories,David Peterson,https://towardsdatascience.com/@dwpdatastories?source=collection_archive---------9-----------------------,,48
jblistman,Jenny Listman,https://towardsdatascience.com/@jblistman?source=collection_archive---------10-----------------------,"PhD, mother of 4, New Yorker: data science, data visualization, R, ",993
thebabar,Babar Bhatti,https://towardsdatascience.com/@thebabar?source=collection_archive---------2-----------------------,"Machine Learning, AI, Data Science, Analytics, Product Management. Co-Founder Dallas AI. Former CEO/Co-founder @MutualMind, social analytics.",767
cacheop,Alberto Escarlate,https://towardsdatascience.com/@cacheop?source=collection_archive---------3-----------------------,,0
paragradke,Parag Radke,https://towardsdatascience.com/@paragradke?source=collection_archive---------4-----------------------,A student of Mathematics.,760
yuribarzov,Yuri Barzov,https://towardsdatascience.com/@yuribarzov?source=collection_archive---------6-----------------------,,0
priansh,Priansh Shah,https://towardsdatascience.com/@priansh?source=collection_archive---------2-----------------------,priansh (dot) com,0
vaibhavsahu,Vaibhav Sahu,https://towardsdatascience.com/@vaibhavsahu?source=collection_archive---------3-----------------------,"Principal Data Scientist at Gspann Technologies, India| Google Certified Professional Data Engineer| Interested in Artificial Intelligence, Deep Learning",154
mahjahnavi,Jahnavi Mahanta,https://towardsdatascience.com/@mahjahnavi?source=collection_archive---------4-----------------------,@ ,228
davidamerland,David Amerland,https://towardsdatascience.com/@davidamerland?source=collection_archive---------1-----------------------,,0
radekosmulski,Radek Osmulski,https://towardsdatascience.com/@radekosmulski?source=collection_archive---------3-----------------------,,0
ValeriaCortezVD,Valeria Cortez,https://towardsdatascience.com/@ValeriaCortezVD?source=collection_archive---------4-----------------------,Data Scientist at Monzo Bank || Prev. Lloyds Banking Group working on Responsible AI || Advocate for ethical AI and diversity in tech || T: @ValeriaCortezVD,227
dmonn,Dominic Monn,https://towardsdatascience.com/@dmonn?source=collection_archive---------0-----------------------,Deep Learning Engineer & Maker.,1000
jericacopeny,Jerica Copeny,https://towardsdatascience.com/@jericacopeny?source=collection_archive---------1-----------------------,"Civic Data Scientist, Advocate for Human Centric AI & Machine Learning “I think data therefore I am data”",22
sibelita,Si bel,https://towardsdatascience.com/@sibelita?source=collection_archive---------2-----------------------,,0
prtdomingo,Philip Roimon Domingo,https://towardsdatascience.com/@prtdomingo?source=collection_archive---------3-----------------------,"Software Engineer / Speaker / Passionate in AI, IoT and AR / Soon-to-be-Entrepreneur",252
aerinykim,Aerin Kim,https://towardsdatascience.com/@aerinykim?source=collection_archive---------1-----------------------,,0
shikharcic23,Shikhar Sharma,https://towardsdatascience.com/@shikharcic23?source=collection_archive---------2-----------------------,Machine Learning and Software Development at Pitney Bowes,52
tentotheminus9,Rob Harrand,https://towardsdatascience.com/@tentotheminus9?source=collection_archive---------4-----------------------,Temporary collection of atoms.,52
zaver.max,Maksym Zavershynskyi,https://towardsdatascience.com/@zaver.max?source=collection_archive---------5-----------------------,,568
jasonkowal,Jason Kowal,https://towardsdatascience.com/@jasonkowal?source=collection_archive---------6-----------------------,Locked in the epic struggle between creativity and artificial intelligence. Partner at Deducive.,119
vincentgranville,Vincent Granville,https://towardsdatascience.com/@vincentgranville?source=collection_archive---------8-----------------------,,0
shvlksen,Shivalik Sen,https://towardsdatascience.com/@shvlksen?source=collection_archive---------0-----------------------,,386
SkyscannerEng,Skyscanner Engineering,https://towardsdatascience.com/@SkyscannerEng?source=collection_archive---------2-----------------------,"We are the engineers at Skyscanner, the company changing how the world travels. Visit ",3200
smmcdonnell,Serena McDonnell,https://towardsdatascience.com/@smmcdonnell?source=collection_archive---------5-----------------------,Always curious about math. Senior Data Scientist @ Delphia - views are my own. Check out my personal website: ,105
oferegozi,Ofer Egozi,https://towardsdatascience.com/@oferegozi?source=collection_archive---------9-----------------------,,65
